observed,tweet_count,tk_zika,tk_zikv,tk_mosquito,tk_aedes,tk_gullain_barr,tk_flavivirus,ph_account_counts,submission_count,comment_count,num_science_submissions,num_science_comments,num_zika_submissions,num_zika_comments,num_health_comments,num_health_submissions
1036,343,64,1,302,3,0,0,0,117,117,2,0,2,3,0,3
1017,481,105,0,416,0,0,0,0,237,237,2,0,5,1,0,7
971,768,204,2,596,3,0,7,0,175,175,3,11,3,0,0,4
883,629,102,0,562,1,0,1,0,165,165,1,3,6,4,0,3
771,375,60,1,344,2,0,0,0,121,121,6,8,1,1,0,0
596,277,30,1,268,0,0,1,0,119,119,2,2,3,2,0,2
516,575,61,2,547,2,0,0,0,80,80,1,89,0,0,0,0
493,1067,62,0,1058,1,0,0,0,40,40,0,0,1,0,0,1
370,768,54,0,747,1,0,1,0,162,162,1,2,1,0,0,2
371,743,64,1,716,0,0,0,0,80,80,0,1,1,1,0,0
319,694,60,0,673,1,0,0,0,89,89,1,1,3,2,0,1
286,724,88,1,690,3,0,0,2,106,106,0,9,0,0,0,0
287,539,34,0,537,3,0,0,0,66,66,0,0,0,1,0,0
261,613,36,0,612,0,0,0,1,54,54,0,0,2,2,0,0
248,555,46,0,545,6,0,0,0,58,58,2,2,3,5,0,1
231,589,55,1,569,3,0,0,0,32,32,0,1,2,1,1,1
208,352,41,1,330,1,0,0,0,148,148,9,5,2,2,0,2
171,442,28,2,436,3,0,0,0,33,33,0,2,3,6,0,0
210,399,53,0,373,2,0,0,1,33,33,2,3,4,2,1,0
213,354,51,0,327,2,0,0,1,104,104,7,4,1,1,0,0
169,312,35,3,297,2,0,0,0,122,122,1,0,2,1,0,1
228,216,12,1,215,1,0,0,0,52,52,1,24,0,0,0,0
207,244,19,1,235,0,0,0,2,25,25,0,3,3,1,0,0
222,218,23,3,201,1,0,0,0,26,26,1,0,0,0,0,0
172,207,38,0,187,1,0,1,0,30,30,0,3,1,1,0,0
213,239,32,3,206,2,0,2,1,88,88,0,1,1,2,0,0
220,166,16,2,155,1,0,0,0,56,56,3,3,0,0,0,0
221,119,24,0,98,3,0,0,0,24,24,1,1,0,0,0,0
216,119,16,1,101,2,0,0,0,26,26,0,0,0,0,0,0
207,72,12,0,62,5,0,0,0,47,47,2,0,0,0,0,0
223,105,27,1,77,2,0,1,0,69,69,1,8,1,0,0,3
215,89,16,1,81,1,0,1,0,33,33,0,1,0,0,0,1
162,78,17,0,68,0,0,0,0,35,35,0,2,0,0,0,1
