Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
0,1/2/2016,0,Mexico,0,4,0,0,1/2/2016,4,0,2015,125236
0,1/2/2016,0,Martinique,0,4,0,0,1/2/2016,4,0,2015,406
0,1/2/2016,0,Haiti,0,4,0,0,1/2/2016,4,0,2015,10604
0,1/2/2016,0,Honduras,0,4,0,0,1/2/2016,4,0,2015,8424
0,1/2/2016,0,French Guiana,0,4,0,0,1/2/2016,4,0,2015,262
0,1/2/2016,0,Guadeloupe,0,4,0,0,1/2/2016,4,0,2015,470
0,1/2/2016,0,Dominica,0,4,0,0,1/2/2016,4,0,2015,74
0,1/2/2016,0,Dominican Republic,0,4,0,0,1/2/2016,4,0,2015,10652
0,1/2/2016,0,Ecuador,0,4,0,0,1/2/2016,4,0,2015,16226
140,1/2/2016,0.28,Colombia,0,4,0,67,1/2/2016,4,140,2015,49529
58,1/2/2016,0.03,Brazil,0,4,0,30,1/2/2016,4,58,2015,203657
0,1/2/2016,0,El Salvador,0,4,0,0,1/2/2016,4,0,2015,6426
0,1/2/2016,0,Belize,0,4,0,0,1/2/2016,4,0,2015,348
0,1/2/2016,0,Bolivia,0,4,0,0,1/2/2016,4,0,2015,11025
0,1/2/2016,0,Curaçao,0,4,0,0,1/2/2016,4,0,2015,150
0,1/2/2016,0,Aruba,0,4,0,0,1/2/2016,4,0,2015,112
0,1/2/2016,,"Bonaire, Saint Eustatius and Saba",0,4,0,0,1/2/2016,4,0,2015,
0,1/2/2016,0,Nicaragua,0,4,0,0,1/2/2016,4,0,2015,6257
0,1/2/2016,0,Panama,0,4,0,0,1/2/2016,4,0,2015,3988
0,1/2/2016,0,Paraguay,0,4,0,0,1/2/2016,4,0,2015,7033
0,1/2/2016,0,Peru,0,4,0,0,1/2/2016,4,0,2015,31161
0,1/2/2016,0,Puerto Rico,0,4,0,0,1/2/2016,4,0,2015,3680
0,1/2/2016,0,Saint Barthelemy,0,4,0,0,1/2/2016,4,0,2015,9
0,1/2/2016,0,Saint Kitts and Nevis,,4,,0,1/2/2016,4,0,2015,52
0,1/2/2016,0,Anguilla,0,4,0,0,1/2/2016,4,0,2015,16
0,1/2/2016,0,Saint Lucia,0,4,0,0,1/2/2016,4,0,2015,164
0,1/2/2016,0,Saint Martin,0,4,0,0,1/2/2016,4,0,2015,32
0,1/2/2016,0,Saint Vincent and the Grenadines,0,4,0,0,1/2/2016,4,0,2015,103
2,1/2/2016,0.36,Suriname,0,4,0,1,1/2/2016,4,2,2015,548
0,1/2/2016,0,Trinidad and Tobago,0,4,0,0,1/2/2016,4,0,2015,1347
0,1/2/2016,0,Turks and Caicos Islands,,4,,0,1/2/2016,4,0,2015,50
0,1/2/2016,0,United States of America,0,4,,0,1/2/2016,4,0,2015,325128
0,1/2/2016,0,Virgin Islands (US),0,4,0,0,1/2/2016,4,0,2015,104
0,1/2/2016,0,Venezuela,0,4,0,0,1/2/2016,4,0,2015,31293
,12/29/2018,,Barbados,,4,,,12/29/2018,-,,2015,291
,1/2/2016,,Guatemala,,4,,,1/2/2016,-,,2015,16255
0,1/2/2016,0,Argentina,0,5,0,0,1/2/2016,5,0,2015,42155
0,1/2/2016,0,Canada,0,5,0,,1/2/2016,5,0,2015,0
0,1/2/2016,0,Virgin Islands (UK),,5,,0,1/2/2016,5,0,2015,33
0,1/2/2016,0,Virgin Islands (UK),,5,,0,1/2/2016,5,0,2015,33
0,1/2/2016,0,Costa Rica,0,5,0,0,1/2/2016,5,0,2015,5002
0,1/2/2016,0,Cuba,0,5,0,0,1/2/2016,5,0,2015,11249
0,1/2/2016,0,Grenada,0,5,0,0,1/2/2016,5,0,2015,111
0,1/2/2016,0,Guyana,0,5,0,0,1/2/2016,5,0,2015,808
0,1/2/2016,0,Jamaica,0,5,0,0,1/2/2016,5,0,2015,2813
0,1/2/2016,0,Mexico,0,5,0,0,1/2/2016,5,0,2015,125236
0,1/2/2016,0,Martinique,0,5,0,0,1/2/2016,5,0,2015,406
0,1/2/2016,0,Haiti,0,5,0,0,1/2/2016,5,0,2015,10604
0,1/2/2016,0,Honduras,0,5,0,0,1/2/2016,5,0,2015,8424
0,1/2/2016,0,French Guiana,0,5,0,0,1/2/2016,5,0,2015,262
0,1/2/2016,0,Guadeloupe,0,5,0,0,1/2/2016,5,0,2015,470
0,1/2/2016,0,Dominica,0,5,0,0,1/2/2016,5,0,2015,74
0,1/2/2016,0,Dominican Republic,0,5,0,0,1/2/2016,5,0,2015,10652
0,1/2/2016,0,Ecuador,0,5,0,0,1/2/2016,5,0,2015,16226
2158,1/2/2016,4.36,Colombia,0,5,0,183,1/2/2016,5,"2,158",2015,49529
86,1/2/2016,0.04,Brazil,0,5,0,44,1/2/2016,5,86,2015,203657
976,1/2/2016,15.19,El Salvador,0,5,0,0,1/2/2016,5,976,2015,6426
0,1/2/2016,0,Belize,0,5,0,0,1/2/2016,5,0,2015,348
0,1/2/2016,0,Bolivia,0,5,0,0,1/2/2016,5,0,2015,11025
0,1/2/2016,0,Curaçao,0,5,0,0,1/2/2016,5,0,2015,150
0,1/2/2016,0,Aruba,0,5,0,0,1/2/2016,5,0,2015,112
0,1/2/2016,,"Bonaire, Saint Eustatius and Saba",0,5,0,0,1/2/2016,5,0,2015,
0,1/2/2016,0,Nicaragua,0,5,0,0,1/2/2016,5,0,2015,6257
21,1/2/2016,0.53,Panama,0,5,0,21,1/2/2016,5,21,2015,3988
0,1/2/2016,0,Paraguay,0,5,0,0,1/2/2016,5,0,2015,7033
0,1/2/2016,0,Peru,0,5,0,0,1/2/2016,5,0,2015,31161
0,1/2/2016,0,Puerto Rico,0,5,0,0,1/2/2016,5,0,2015,3680
0,1/2/2016,0,Saint Barthelemy,0,5,0,0,1/2/2016,5,0,2015,9
0,1/2/2016,0,Saint Kitts and Nevis,,5,,0,1/2/2016,5,0,2015,52
0,1/2/2016,0,Anguilla,0,5,0,0,1/2/2016,5,0,2015,16
0,1/2/2016,0,Saint Lucia,0,5,0,0,1/2/2016,5,0,2015,164
0,1/2/2016,0,Saint Martin,0,5,0,0,1/2/2016,5,0,2015,32
0,1/2/2016,0,Saint Vincent and the Grenadines,0,5,0,0,1/2/2016,5,0,2015,103
71,1/2/2016,12.96,Suriname,0,5,0,11,1/2/2016,5,71,2015,548
0,1/2/2016,0,Trinidad and Tobago,0,5,0,0,1/2/2016,5,0,2015,1347
0,1/2/2016,0,Turks and Caicos Islands,,5,,0,1/2/2016,5,0,2015,50
0,1/2/2016,0,United States of America,0,5,,0,1/2/2016,5,0,2015,325128
0,1/2/2016,0,Virgin Islands (US),0,5,0,0,1/2/2016,5,0,2015,104
0,1/2/2016,0,Venezuela,0,5,0,0,1/2/2016,5,0,2015,31293
,12/29/2018,,Barbados,,5,,,12/29/2018,-,,2015,291
,1/2/2016,,Guatemala,,5,,,1/2/2016,-,,2015,16255
0,1/2/2016,0,Argentina,0,6,0,0,1/2/2016,6,0,2015,42155
0,1/2/2016,0,Virgin Islands (UK),,6,,0,1/2/2016,6,0,2015,33
0,1/2/2016,0,Virgin Islands (UK),,6,,0,1/2/2016,6,0,2015,33
0,1/2/2016,0,Canada,0,6,0,,1/2/2016,6,0,2015,0
0,1/2/2016,0,Costa Rica,0,6,0,0,1/2/2016,6,0,2015,5002
0,1/2/2016,0,Cuba,0,6,0,0,1/2/2016,6,0,2015,11249
0,1/2/2016,0,Grenada,0,6,0,0,1/2/2016,6,0,2015,111
